Node,Str,file,rank
pos_1389.74867_11.464,360.3994722142664,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_1.RData,60
pos_143.11832_1.314,1031.820919210675,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,1
pos_286.23656_1.675,974.5039233000081,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,2
pos_244.22611_1.022,884.6010097981145,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,3
pos_1091.59626_5.257,800.5452459950598,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,4
pos_1143.63481_4.944,752.6247027933672,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,5
pos_1077.58075_5.559,722.0708710190156,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,6
pos_2073.10772_7.177,710.3196772973984,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,7
pos_556.32152_5.537,696.0486896083809,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,8
pos_333.13215_6.697,682.8803115400289,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,9
pos_504.20297_11.73,604.5736664871345,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,10
pos_136.03847_4.552,572.5150461839173,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,11
pos_2151.10297_7.063,567.1718999010013,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,12
pos_594.27421_5.968,534.4991784147355,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,13
pos_904.52178_5.547,533.8826888811141,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,14
pos_382.10835_1.234,524.7508111132175,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,15
pos_461.33469_13.882,523.6375976969929,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,16
pos_202.0452_1.718,504.2966262782123,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,17
pos_469.32603_6.538,504.21171760381236,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,18
pos_218.01912_1.219,485.6831826242726,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,19
pos_1057.46741_4.856,479.864090153076,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,20
pos_202.04518_1.248,469.6426534447,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,21
pos_825.38581_5.817,446.07131420545016,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,22
pos_2278.18423_8.327,442.255154208895,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,23
pos_218.12658_4.867,440.91113093436314,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,24
pos_169.04056_7.154,429.7181920023318,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,25
pos_560.28008_5.46,410.6193865070452,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,26
pos_264.14719_7.245,402.40712486369733,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,27
pos_322.16256_9.474,394.486651503573,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,28
pos_347.06272_1.983,392.9464946355504,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,29
pos_228.14729_6.563,387.09724641549786,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,30
pos_2700.30462_7.32,386.38733571979634,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,31
pos_211.11082_9.124,381.5263505861827,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,32
pos_352.18889_9.286,369.05094189003944,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,33
pos_532.32147_5.74,367.16707127260037,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,34
pos_188.11601_5.548,365.8844986595031,UNFILTERED_DICOVAR/output/final_mdl_dcv_scores_UNFILTERED_DICOVAR_iteration_2.RData,35
